ID	MasterID
Argentina	I12942
Argentina	Yaghan890
Argentina	Yaghan894
Argentina	Yaghan895
Argentina	MA572
Argentina	MA575
Argentina	MA577
Argentina	I12366
Argentina	I12941
Argentina	I12943
Argentina	I12356
Argentina	I12357
Argentina	I12363
Argentina	I12360
Argentina	I12361
Argentina	I12358
Argentina	I12354
Argentina	Aconcagua
Argentina	I12359
Argentina	I12367
Argentina	I12365
Argentina	I12364
Argentina	I12355
Argentina	I8351
Bahamas	I14883
Bahamas	I14883
Bahamas	I14883
Bahamas	I14880
Bahamas	I14880
Bahamas	I14880
Bahamas	I14881
Bahamas	I13558
Bahamas	I14923
Bahamas	I13738
Bahamas	I13739
Bahamas	I14876
Bahamas	I14882
Bahamas	I14882
Bahamas	I14882
Bahamas	I14879
Bahamas	I14879
Bahamas	I14879
Bahamas	I13560
Bahamas	I14921
Bahamas	I13559
Bahamas	I13321
Bahamas	I13318
Bahamas	I13319
Bahamas	I13736
Bahamas	I13737
Bahamas	I14878
Bahamas	I14878
Bahamas	I13320
Bahamas	PCV001
Bahamas	PCV004
Bahamas	PCV003
Bahamas	I14920
Bahamas	PC537
Bahamas	I14922
Bahamas	I13322
Bahamas	I14875
Bolivia	I0978
Bolivia	I0976
Bolivia	IO2
Bolivia	I0977
Bolivia	MIS5
Bolivia	MIS7
Bolivia	MIS3
Bolivia	I0979
Botswana	TAU001
Botswana	NQO002
Botswana	XAR001
Botswana	XAR002
Brazil	Bot17
Brazil	Botocudo15.SG
Brazil	I9056
Brazil	I9055
Brazil	I9054
Canada	CK-09
Canada	XIV_C_748
Canada	CK-10
Canada	LU-01
Canada	LU-02
Canada	LU-03
Canada	LU-05
Canada	LU-06
Canada	CK-03
Canada	MARC1492
Canada	LateDorset-XIV-H_126
Canada	MARC1491
Canada	MARC481
Canada	I10427
CanaryIslands	gun002_Rodriguez
CanaryIslands	gun005
CanaryIslands	gun008
CanaryIslands	gun011
CanaryIslands	gun012
Chile	AM71
Chile	AM66
Chile	AM72
Chile	AM73
Chile	AM74
Chile	I8576
Chile	I8575
Chile	I1752
Chile	I17497
Chile	I2537
Chile	I14009
Chile	IPY10
Chile	I1754
Chile	IPK12
Chile	I2539
Chile	I2540
Chile	IPY08
Chile	I2538
Chile	IPK13
China	L5694
China	DCZ-M21II
China	ZLNR-1
China	MGS-M6
China	MGS-M7L
China	MGS-M7R
China	DCZ-M17IV
China	DCZ-M22IV
China	DCZ-M6
Crimea	Ker1
Cuba	CDE001
Cuba	CDE005
Cuba	CDE002
Cuba	CDE003
Cuba	CDE004
Cuba	ELM001
Cuba	CAO028
Cuba	CAO021
Cuba	CAO001
Cuba	CAO011
Cuba	CAO023025
Cuba	I17588
Cuba	CAO004
Cuba	CAO004
Cuba	MTO001
Cuba	CIP008
Cuba	CIP011
Cuba	CAO027
Cuba	CAO030
Cuba	CAO022026
Cuba	CAO024
Cuba	CAO031
Cuba	CAO029
Cuba	CAO002008
Cuba	I11169
Cuba	I13487
Cuba	CIP007012
Cuba	CIP010
Cuba	CIP002
Cuba	CIP001
Cuba	CAO014
Cuba	CAA002
Cuba	GUY003
Cuba	CAA001003
Cuba	PDM008
Cuba	PDM004
Cuba	PDM001
Cuba	PDM010
Cuba	PDM002
Cuba	PDM009
Cuba	CIP003
Cuba	PDM003
Cuba	PDM006
Cuba	CAO006
Cuba	CAO010
Cuba	CAO016
Cuba	CAO017
Cuba	CUC001
Cuba	CUC002
Cuba	CUC003
Cuba	CUC004
Curacao	I13472
Curacao	I11892
Curacao	I10759
Curacao	I12967
Curacao	I10758
CzechRepublic	I5026
CzechRepublic	I4137
Denmark	VK330
Denmark	VK322
Denmark	VK324
Denmark	VK327
Denmark	VK134
Denmark	VK135
Denmark	VK138
Denmark	VK139
Denmark	VK140
Denmark	VK141
Denmark	VK274
Denmark	VK275
Denmark	VK276
Denmark	VK278
Denmark	VK279
Denmark	VK280
Denmark	VK281
Denmark	VK282
Denmark	VK284
Denmark	VK285
Denmark	VK286
Denmark	VK287
Denmark	VK288
Denmark	VK290
Denmark	VK292
Denmark	VK295
Denmark	VK316
Denmark	VK317
Denmark	VK320
Denmark	VK323
Denmark	VK338
Denmark	VK361
Denmark	VK362
Denmark	VK363
Denmark	VK364
